TCP , Connect , Wait , Receive , Send , totalTime , ActivePercentage , AverageGoodput , maxGoodPut  
0,0,12416,327886,0,163956.459,2.07556324451,8,1276128.0
3,0,3811,200006,0,109490.821,1.86149850863,8,1226381.0
134,739,1973,59584,0,63466.0,0.96992090253,1,115291.0
135,0,1951,65213,0,67165.0,0.999985111293,10,661601.0
138,0,2018,49728,0,52806.0,0.979926523501,2,133822.0
139,0,1961,37904,0,41976.0,0.949709357728,11,430089.0
12,0,3827,48357,0,25682.605,2.03188111175,2,72111.0
15,0,93,348,0,481.0,0.91683991684,94,32822.0
17,163,344,124,0,695.0,0.673381294964,40,4984.0
18,343,235,248,0,945.0,0.511111111111,67,16627.0
19,344,291,28,0,778.0,0.410025706941,173,4867.0
20,39,376,0,0,416.0,0.903846153846,568.0,568.0
22,0,4089,285784,0,143313.192,2.02265399266,3,928246.0
23,662,3622,0,0,1527.0,2.37197118533,0.0,0.0
24,331,1811,0,0,1527.0,1.18598559267,0.0,0.0
154,3278,1582,21834,0,133043.0,0.17600324707,21,476280.0
31,0,2241,39065,0,24130.739,1.71175859968,9,269459.0
33,179,146,13,0,391.0,0.406649616368,233,3037.0
37,181,201,0,0,761.0,0.264126149803,530.0,530.0
39,411,4416,311683,0,153055.316,2.06525985677,9,2790922.0
40,956,5933,132288,0,50308.266,2.74748090105,6,350961.0
170,177,719,0,0,704.0,1.02130681818,86.0,43.0
57,0,1447,0,0,1448.0,0.999309392265,0.0,0.0
58,0,22162,46942,0,36384.0,1.89929639402,2,109193.0
59,1741,2054,7747,0,11542.0,0.849159591059,9,72419.0
60,352,2165,16054,0,20051.0,0.908632985886,3,63985.0
61,49,2024,21,0,3571.0,0.572668720246,177,3720.0
62,0,2230,12707,0,16765.0,0.890963316433,0,5176.0
64,0,2190,36146,0,38856.0,0.986617253449,3,111823.0
65,0,2159,40694,0,43373.0,0.988010974569,1,64339.0
77,2050,2142,194239,0,198433.0,0.989658978093,18,3583067.0
78,0,1839,69535,0,71375.0,0.999985989492,10,712368.0
79,1890,3413,10792,0,16408.0,0.865736226231,1,11090.0
82,1698,2001,112236,0,116183.0,0.983250561614,3,343067.0
85,0,3375,151967,0,121951.425,1.27380225364,7,720966.0
87,0,3536,332520,0,180714.126,1.85960006248,11,1950925.0
90,1851,5452,0,0,7387.0,0.738053336943,1140.0,1140.0
92,1894,1844,0,0,7580.0,0.24327176781,35.0,35.0
99,0,5423,93035,0,74718.323,1.31772229417,9,707004.0
167,190,225,66,0,538.0,0.540892193309,165,10926.0
108,0,24584,194412,0,137077.196,1.59761073607,4,567406.0
109,0,1595,176935,0,180710.0,0.987936472802,11,1950925.0
111,2052,3878,199268,0,103287.0,1.9668109249,3,777647.0
120,0,1953,65561,0,69512.0,0.971256761422,4,304206.0
122,850,1871,45499,0,49303.0,0.960793460844,9,432850.0
126,1091,1885,38662,0,42396.0,0.956387395037,9,383484.0
